"Title";"Winner";"NumberOfSolutions";"Cost";"PostTime";"SolutionTime";"Tags"
"Bountify | Simple task: listing on wiki page ";"";"0 Solutions";"$10";"Posted 20 days ago";"";"geolocation "
"Bountify | Log into https://accointing.com using Python";"alexanderk23";"1 Solution";"$25";"Posted 22 days ago";"20 days ago";"python web-scraping "
"Bountify | Convert jQuery to vanilla JS";"drakmail";"1 Solution";"$10";"Posted 26 days ago";"26 days ago";""
"Bountify | Create placeholder avatar images based on list of names";"ivankahl";"2 Solutions";"$50";"Posted 28 days ago";"28 days ago";"javascript angular "
"Bountify | Find bug in code to get $50 USD bounty";"TheOsch";"1 Solution";"$50";"Posted  1 month ago";"1 month ago";"geolocation "
"Bountify | React Native demo with scanning";"alex";"1 Solution";"$25";"Posted  1 month ago";"29 days ago";"ios es6 react-native "
"Bountify | React Native D3js demo";"";"0 Solutions";"$25";"Posted  1 month ago";"";"d3 d3js react-js es6 react-native "
"Bountify | React D3js new and ongoing projects";"alex";"2 Solutions";"$100";"Posted  1 month ago";"28 days ago";"d3js react-js es6 "
"Bountify | Port python2 bubnbros to python3 and publish it to github.com";"";"0 Solutions";"$10";"Posted  1 month ago";"";"videogame remake bubble-bobble free-software "
"Bountify | Method to force a user to only download via one button";"TheOsch";"1 Solution";"$1";"Posted  1 month ago";"1 month ago";"content-delivery "
"Bountify | Best way to allow users to download class content.";"bulletpr00f";"4 Solutions";"$1";"Posted  1 month ago";"1 month ago";"content-delivery "
"Bountify | Attribute/ facet input search box - awesome interaction ux - $200";"VladimirMikulic";"2 Solutions";"$100";"Posted  1 month ago";"1 month ago";"javascript "
"Bountify | Fix an Adobe lightroom plugin";"radosinsky";"2 Solutions";"$50";"Posted  1 month ago";"1 month ago";""
"Bountify | Alexa and Amazon music to shuffle and play song from NOW that's what I call music";"VladimirMikulic";"1 Solution";"$10";"Posted 2 months ago";"2 months ago";""
